"filename", "language", "Log", "XML", "C#", "comment", "blank", "total"
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp-firstpass.csproj", "XML", 0, 664, 0, 7, 1, 672
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Invitation\Invitation.cs", "C#", 0, 0, 10, 3, 5, 18
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Room\RoomPanel.cs", "C#", 0, 0, 1, 1, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GeneralManager\GameManager.cs", "C#", 0, 0, 18, 4, 3, 25
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\WebSocketScript\RoomMsgHandler.cs", "C#", 0, 0, 0, 1, 0, 1
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\AssetImportWorker0-prev.log", "Log", -64, 0, 0, 0, -6, -70
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\AssetImportWorker0.log", "Log", 650, 0, 0, 0, 80, 730
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-AssetImportWorker0.log", "Log", 12, 0, 0, 0, 6, 18
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe1.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe10.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe11.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe12.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe2.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe3.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe4.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe5.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe6.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe7.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe8.log", "Log", 2, 0, 0, 0, 2, 4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe9.log", "Log", 2, 0, 0, 0, 2, 4
"Total", "-", 622, 664, 29, 16, 115, 1446
