"filename", "language", "JSON", "Log", "XML", "C#", "HLSL", "ShaderLab", "comment", "blank", "total"
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp-Editor.csproj", "XML", 0, 0, 675, 0, 0, 0, 7, 1, 683
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp-firstpass.csproj", "XML", 0, 0, 664, 0, 0, 0, 7, 1, 672
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp.csproj", "XML", 0, 0, 713, 0, 0, 0, 7, 1, 721
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Editor\MultiplayersBuildAndRun.cs", "C#", 0, 0, 0, 40, 0, 0, 0, 18, 58
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\GameAssets\Beautiful Progress Bar Free - CYKO\Scripts\SliderScripts.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\JsonDotNet\link.xml", "XML", 0, 0, 6, 0, 0, 0, 1, 0, 7
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\PlayerPrefab.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 6, 29
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\RoomButtonPrefab.cs", "C#", 0, 0, 0, 100, 0, 0, 5, 25, 130
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\thisPlayerPrefab.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\InvPanel_P.cs", "C#", 0, 0, 0, 59, 0, 0, 2, 14, 75
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\PlayerPanel_H.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\PlayerPanel_P.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Card.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\CamPos\LobbyCamPos.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\CamPos\RoomCamPos.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\EnteringSceneUpdater.cs", "C#", 0, 0, 0, 44, 0, 0, 6, 13, 63
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Invitation\Invitation.cs", "C#", 0, 0, 0, 72, 0, 0, 9, 21, 102
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Lobby\L_CreatingPanel.cs", "C#", 0, 0, 0, 70, 0, 0, 4, 17, 91
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Lobby\L_PanelChat.cs", "C#", 0, 0, 0, 39, 0, 0, 1, 7, 47
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Lobby\L_PlayerPanel.cs", "C#", 0, 0, 0, 41, 0, 0, 4, 15, 60
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\EnteringSc\Lobby\L_RoomsPanel.cs", "C#", 0, 0, 0, 29, 0, 0, 2, 3, 34
