"filename", "language", "JSON", "Log", "XML", "C#", "HLSL", "ShaderLab", "comment", "blank", "total"
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp-Editor.csproj", "XML", 0, 0, -675, 0, 0, 0, -7, -1, -683
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp-firstpass.csproj", "XML", 0, 0, -664, 0, 0, 0, -7, -1, -672
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp.csproj", "XML", 0, 0, -713, 0, 0, 0, -7, -1, -721
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Editor\MultiplayersBuildAndRun.cs", "C#", 0, 0, 0, -40, 0, 0, 0, -18, -58
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\GameAssets\Beautiful Progress Bar Free - CYKO\Scripts\SliderScripts.cs", "C#", 0, 0, 0, -17, 0, 0, 0, -6, -23
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\JsonDotNet\link.xml", "XML", 0, 0, -6, 0, 0, 0, -1, 0, -7
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\PlayerPrefab.cs", "C#", 0, 0, 0, -23, 0, 0, 0, -6, -29
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\RoomButtonPrefab.cs", "C#", 0, 0, 0, -100, 0, 0, -5, -25, -130
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\thisPlayerPrefab.cs", "C#", 0, 0, 0, -11, 0, 0, 0, -4, -15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\InvPanel_P.cs", "C#", 0, 0, 0, -59, 0, 0, -2, -14, -75
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\PlayerPanel_H.cs", "C#", 0, 0, 0, -12, 0, 0, 0, -3, -15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\PlayerPanel_P.cs", "C#", 0, 0, 0, -12, 0, 0, 0, -3, -15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 0, 0, 0, 0, 0, -109, -2, -33, -144
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 0, 0, 0, 0, 0, -112, -3, -31, -146
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 0, 0, 0, 0, 0, -109, -2, -33, -144
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "ShaderLab", 0, 0, 0, 0, 0, -243, -4, -71, -318
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 0, 0, 0, 0, 0, -241, -4, -66, -311
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 0, 0, 0, 0, -188, -10, -50, -248
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 0, 0, 0, 0, -183, -8, -50, -241
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 0, 0, 0, 0, -82, -4, -21, -107
